v-sweep,v(g),vdd#branch
0.000000000000000000e+00,0.000000000000000000e+00,-3.438820000000000083e-12
5.000000000000000278e-02,5.000000000000000278e-02,-1.388850000000000004e-11
1.000000000000000056e-01,1.000000000000000056e-01,-6.924549999999999368e-11
1.499999999999999944e-01,1.499999999999999944e-01,-3.619240000000000108e-10
2.000000000000000111e-01,2.000000000000000111e-01,-1.902469999999999945e-09
2.500000000000000000e-01,2.500000000000000000e-01,-9.930670000000000408e-09
2.999999999999999889e-01,2.999999999999999889e-01,-5.086769999999999961e-08
3.499999999999999778e-01,3.499999999999999778e-01,-2.506260000000000103e-07
4.000000000000000222e-01,4.000000000000000222e-01,-1.153270000000000056e-06
4.500000000000000111e-01,4.500000000000000111e-01,-4.814199999999999579e-06
5.000000000000000000e-01,5.000000000000000000e-01,-1.755080000000000144e-05
5.500000000000000444e-01,5.500000000000000444e-01,-5.139060000000000226e-05
5.999999999999999778e-01,5.999999999999999778e-01,-1.148349999999999940e-04
6.500000000000000222e-01,6.500000000000000222e-01,-2.044489999999999936e-04
6.999999999999999556e-01,6.999999999999999556e-01,-3.119679999999999784e-04
7.500000000000000000e-01,7.500000000000000000e-01,-4.314729999999999802e-04
8.000000000000000444e-01,8.000000000000000444e-01,-5.599329999999999802e-04
8.499999999999999778e-01,8.499999999999999778e-01,-6.958249999999999592e-04
9.000000000000000222e-01,9.000000000000000222e-01,-8.382090000000000244e-04
9.499999999999999556e-01,9.499999999999999556e-01,-9.863470000000000484e-04
1.000000000000000000e+00,1.000000000000000000e+00,-1.139580000000000063e-03
1.050000000000000044e+00,1.050000000000000044e+00,-1.297299999999999929e-03
1.100000000000000089e+00,1.100000000000000089e+00,-1.458960000000000031e-03
1.149999999999999911e+00,1.149999999999999911e+00,-1.624049999999999929e-03
1.199999999999999956e+00,1.199999999999999956e+00,-1.792130000000000068e-03
