v-sweep,v(eps_s),v(alpha),vdd#branch
0.000000000000000000e+00,5.000000000000000104e-03,0.000000000000000000e+00,-4.414469999999999766e-04
9.817476999999999454e-02,5.000000000000000104e-03,9.817476999999999454e-02,-4.413050000000000176e-04
1.963495000000000101e-01,5.000000000000000104e-03,1.963495000000000101e-01,-4.408869999999999955e-04
2.945243000000000166e-01,5.000000000000000104e-03,2.945243000000000166e-01,-4.402079999999999839e-04
3.926991000000000231e-01,5.000000000000000104e-03,3.926991000000000231e-01,-4.392949999999999741e-04
4.908738999999999741e-01,5.000000000000000104e-03,4.908738999999999741e-01,-4.381829999999999753e-04
5.890486000000000333e-01,5.000000000000000104e-03,5.890486000000000333e-01,-4.369139999999999981e-04
6.872234000000000398e-01,5.000000000000000104e-03,6.872234000000000398e-01,-4.355389999999999782e-04
7.853982000000000463e-01,5.000000000000000104e-03,7.853982000000000463e-01,-4.341109999999999912e-04
8.835728999999999944e-01,5.000000000000000104e-03,8.835728999999999944e-01,-4.326830000000000042e-04
9.817477000000000009e-01,5.000000000000000104e-03,9.817477000000000009e-01,-4.313109999999999774e-04
1.079922000000000049e+00,5.000000000000000104e-03,1.079922000000000049e+00,-4.300479999999999863e-04
1.178096999999999950e+00,5.000000000000000104e-03,1.178096999999999950e+00,-4.289410000000000119e-04
1.276272000000000073e+00,5.000000000000000104e-03,1.276272000000000073e+00,-4.280339999999999883e-04
1.374446999999999974e+00,5.000000000000000104e-03,1.374446999999999974e+00,-4.273600000000000012e-04
1.472622000000000098e+00,5.000000000000000104e-03,1.472622000000000098e+00,-4.269450000000000263e-04
1.570796000000000081e+00,5.000000000000000104e-03,1.570796000000000081e+00,-4.268049999999999904e-04
