v-sweep,v(eps_s),v(g),vdd#branch
0.000000000000000000e+00,5.000000000000000104e-03,0.000000000000000000e+00,-3.785619999999999777e-12
5.000000000000000278e-02,5.000000000000000104e-03,5.000000000000000278e-02,-1.572680000000000121e-11
1.000000000000000056e-01,5.000000000000000104e-03,1.000000000000000056e-01,-7.897820000000000289e-11
1.499999999999999944e-01,5.000000000000000104e-03,1.499999999999999944e-01,-4.133159999999999922e-10
2.000000000000000111e-01,5.000000000000000104e-03,2.000000000000000111e-01,-2.172200000000000006e-09
2.500000000000000000e-01,5.000000000000000104e-03,2.500000000000000000e-01,-1.132720000000000034e-08
2.999999999999999889e-01,5.000000000000000104e-03,2.999999999999999889e-01,-5.789190000000000106e-08
3.499999999999999778e-01,5.000000000000000104e-03,3.499999999999999778e-01,-2.840109999999999880e-07
4.000000000000000222e-01,5.000000000000000104e-03,4.000000000000000222e-01,-1.298020000000000025e-06
4.500000000000000111e-01,5.000000000000000104e-03,4.500000000000000111e-01,-5.370060000000000217e-06
5.000000000000000000e-01,5.000000000000000104e-03,5.000000000000000000e-01,-1.930539999999999985e-05
5.500000000000000444e-01,5.000000000000000104e-03,5.500000000000000444e-01,-5.534920000000000194e-05
5.999999999999999778e-01,5.000000000000000104e-03,5.999999999999999778e-01,-1.211500000000000039e-04
6.500000000000000222e-01,5.000000000000000104e-03,6.500000000000000222e-01,-2.124919999999999977e-04
6.999999999999999556e-01,5.000000000000000104e-03,6.999999999999999556e-01,-3.211420000000000095e-04
7.500000000000000000e-01,5.000000000000000104e-03,7.500000000000000000e-01,-4.414469999999999766e-04
8.000000000000000444e-01,5.000000000000000104e-03,8.000000000000000444e-01,-5.705449999999999931e-04
8.499999999999999778e-01,5.000000000000000104e-03,8.499999999999999778e-01,-7.069869999999999583e-04
9.000000000000000222e-01,5.000000000000000104e-03,9.000000000000000222e-01,-8.498579999999999936e-04
9.499999999999999556e-01,5.000000000000000104e-03,9.499999999999999556e-01,-9.984259999999999576e-04
1.000000000000000000e+00,5.000000000000000104e-03,1.000000000000000000e+00,-1.152040000000000008e-03
1.050000000000000044e+00,5.000000000000000104e-03,1.050000000000000044e+00,-1.310100000000000023e-03
1.100000000000000089e+00,5.000000000000000104e-03,1.100000000000000089e+00,-1.472049999999999921e-03
1.149999999999999911e+00,5.000000000000000104e-03,1.149999999999999911e+00,-1.637390000000000069e-03
1.199999999999999956e+00,5.000000000000000104e-03,1.199999999999999956e+00,-1.805689999999999986e-03
