time,v(eps_s),v(alpha),vdd#branch
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.000000000000000048e-04,9.424778000000000195e-07,0.000000000000000000e+00,-2.405700000000000091e-04
2.000000000000000096e-04,1.884956000000000008e-06,0.000000000000000000e+00,-2.405700000000000091e-04
4.000000000000000192e-04,3.769911000000000200e-06,0.000000000000000000e+00,-2.405700000000000091e-04
8.000000000000000383e-04,7.539819999999999921e-06,0.000000000000000000e+00,-2.405700000000000091e-04
1.600000000000000077e-03,1.507962000000000014e-05,0.000000000000000000e+00,-2.405700000000000091e-04
3.200000000000000153e-03,3.015911000000000134e-05,0.000000000000000000e+00,-2.405700000000000091e-04
6.400000000000000307e-03,6.031712000000000027e-05,0.000000000000000000e+00,-2.405700000000000091e-04
1.280000000000000061e-02,1.206254999999999990e-04,0.000000000000000000e+00,-2.405700000000000091e-04
2.280000000000000082e-02,2.148188000000000040e-04,0.000000000000000000e+00,-2.405700000000000091e-04
3.280000000000000276e-02,3.089357999999999839e-04,0.000000000000000000e+00,-2.405700000000000091e-04
4.279999999999999777e-02,4.029430999999999877e-04,0.000000000000000000e+00,-2.405700000000000091e-04
5.279999999999999971e-02,4.968072000000000026e-04,0.000000000000000000e+00,-2.405700000000000091e-04
6.279999999999999472e-02,5.904947000000000234e-04,0.000000000000000000e+00,-2.405700000000000091e-04
7.280000000000000360e-02,6.839724999999999841e-04,0.000000000000000000e+00,-2.405700000000000091e-04
8.279999999999999860e-02,7.772073000000000219e-04,0.000000000000000000e+00,-2.405700000000000091e-04
9.279999999999999361e-02,8.701658999999999826e-04,0.000000000000000000e+00,-2.405700000000000091e-04
1.028000000000000025e-01,9.628154000000000313e-04,0.000000000000000000e+00,-2.405700000000000091e-04
1.127999999999999975e-01,1.055123000000000042e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.228000000000000064e-01,1.147054999999999906e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.328000000000000014e-01,1.238579999999999976e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.428000000000000103e-01,1.329665000000000057e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.527999999999999914e-01,1.420278000000000079e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.628000000000000003e-01,1.510384999999999939e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.728000000000000091e-01,1.599956999999999942e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.827999999999999903e-01,1.688959000000000077e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.927999999999999992e-01,1.777361999999999996e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.028000000000000080e-01,1.865132999999999939e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.127999999999999892e-01,1.952242000000000083e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.227999999999999980e-01,2.038657000000000143e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.328000000000000069e-01,2.124346999999999954e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.427999999999999881e-01,2.209282999999999820e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.528000000000000247e-01,2.293434000000000011e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.627999999999999781e-01,2.376769999999999838e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.727999999999999869e-01,2.459260999999999912e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.827999999999999958e-01,2.540878999999999794e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.928000000000000047e-01,2.621594000000000094e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.028000000000000136e-01,2.701377999999999939e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.128000000000000225e-01,2.780201999999999847e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.227999999999999758e-01,2.858037999999999811e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.327999999999999847e-01,2.934857999999999825e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.427999999999999936e-01,3.010636000000000128e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.528000000000000025e-01,3.085343999999999847e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.628000000000000114e-01,3.158956000000000090e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.728000000000000203e-01,3.231445999999999798e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.827999999999999736e-01,3.302787000000000171e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.927999999999999825e-01,3.372954999999999964e-03,0.000000000000000000e+00,-2.405700000000000091e-04
4.027999999999999914e-01,3.441925000000000193e-03,0.000000000000000000e+00,-2.405700000000000091e-04
4.128000000000000003e-01,3.509672000000000139e-03,0.000000000000000000e+00,-2.405700000000000091e-04
4.228000000000000091e-01,3.576170999999999951e-03,0.000000000000000000e+00,-2.405700000000000091e-04
4.328000000000000180e-01,3.641399999999999932e-03,0.000000000000000000e+00,-2.405700000000000091e-04
4.428000000000000269e-01,3.705336000000000046e-03,0.000000000000000000e+00,-2.405700000000000091e-04
4.527999999999999803e-01,3.767954999999999915e-03,0.000000000000000000e+00,-2.405700000000000091e-04
4.627999999999999892e-01,3.829234999999999844e-03,0.000000000000000000e+00,-2.405700000000000091e-04
4.727999999999999980e-01,3.889154000000000135e-03,0.000000000000000000e+00,-2.405700000000000091e-04
