v-sweep,v(eps_s),v(g),vdd#branch
0.000000000000000000e+00,5.000000000000000104e-03,0.000000000000000000e+00,-1.033640000000000026e-12
5.000000000000000278e-02,5.000000000000000104e-03,5.000000000000000278e-02,-1.092020000000000026e-12
1.000000000000000056e-01,5.000000000000000104e-03,1.000000000000000056e-01,-2.081979999999999980e-12
1.499999999999999944e-01,5.000000000000000104e-03,1.499999999999999944e-01,-7.135050000000000379e-12
2.000000000000000111e-01,5.000000000000000104e-03,2.000000000000000111e-01,-3.577290000000000320e-11
2.500000000000000000e-01,5.000000000000000104e-03,2.500000000000000000e-01,-1.979000000000000094e-10
2.999999999999999889e-01,5.000000000000000104e-03,2.999999999999999889e-01,-1.113379999999999933e-09
3.499999999999999778e-01,5.000000000000000104e-03,3.499999999999999778e-01,-6.251509999999999643e-09
4.000000000000000222e-01,5.000000000000000104e-03,4.000000000000000222e-01,-3.468539999999999770e-08
4.500000000000000111e-01,5.000000000000000104e-03,4.500000000000000111e-01,-1.871290000000000076e-07
5.000000000000000000e-01,5.000000000000000104e-03,5.000000000000000000e-01,-9.521370000000000244e-07
5.500000000000000444e-01,5.000000000000000104e-03,5.500000000000000444e-01,-4.358629999999999636e-06
5.999999999999999778e-01,5.000000000000000104e-03,5.999999999999999778e-01,-1.704949999999999998e-05
6.500000000000000222e-01,5.000000000000000104e-03,6.500000000000000222e-01,-5.400810000000000219e-05
6.999999999999999556e-01,5.000000000000000104e-03,6.999999999999999556e-01,-1.318149999999999975e-04
7.500000000000000000e-01,5.000000000000000104e-03,7.500000000000000000e-01,-2.514120000000000113e-04
8.000000000000000444e-01,5.000000000000000104e-03,8.000000000000000444e-01,-4.008500000000000127e-04
8.499999999999999778e-01,5.000000000000000104e-03,8.499999999999999778e-01,-5.695210000000000246e-04
9.000000000000000222e-01,5.000000000000000104e-03,9.000000000000000222e-01,-7.519199999999999972e-04
9.499999999999999556e-01,5.000000000000000104e-03,9.499999999999999556e-01,-9.455169999999999937e-04
1.000000000000000000e+00,5.000000000000000104e-03,1.000000000000000000e+00,-1.148900000000000008e-03
1.050000000000000044e+00,5.000000000000000104e-03,1.050000000000000044e+00,-1.360990000000000073e-03
1.100000000000000089e+00,5.000000000000000104e-03,1.100000000000000089e+00,-1.580819999999999925e-03
1.149999999999999911e+00,5.000000000000000104e-03,1.149999999999999911e+00,-1.807500000000000079e-03
1.199999999999999956e+00,5.000000000000000104e-03,1.199999999999999956e+00,-2.040179999999999945e-03
