v-sweep,v(eps_s),v(alpha),vdd#branch
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.212302000000000275e-05
5.000000000000000104e-04,5.000000000000000104e-04,0.000000000000000000e+00,6.212302000000000275e-05
1.000000000000000021e-03,1.000000000000000021e-03,0.000000000000000000e+00,6.212302000000000275e-05
1.500000000000000031e-03,1.500000000000000031e-03,0.000000000000000000e+00,6.212302000000000275e-05
2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,6.212302000000000275e-05
2.500000000000000052e-03,2.500000000000000052e-03,0.000000000000000000e+00,6.212302000000000275e-05
3.000000000000000062e-03,3.000000000000000062e-03,0.000000000000000000e+00,6.212302000000000275e-05
3.500000000000000073e-03,3.500000000000000073e-03,0.000000000000000000e+00,6.212302000000000275e-05
4.000000000000000083e-03,4.000000000000000083e-03,0.000000000000000000e+00,6.212302000000000275e-05
4.499999999999999660e-03,4.499999999999999660e-03,0.000000000000000000e+00,6.212302000000000275e-05
5.000000000000000104e-03,5.000000000000000104e-03,0.000000000000000000e+00,6.212302000000000275e-05
