v-sweep,v(eps_s),v(g),vdd#branch
-1.199999999999999956e+00,2.500000000000000052e-03,-1.199999999999999956e+00,8.204619999999999925e-04
-1.149999999999999911e+00,2.500000000000000052e-03,-1.149999999999999911e+00,7.109370999999999529e-04
-1.100000000000000089e+00,2.500000000000000052e-03,-1.100000000000000089e+00,6.063375000000000405e-04
-1.050000000000000044e+00,2.500000000000000052e-03,-1.050000000000000044e+00,5.071207999999999575e-04
-1.000000000000000000e+00,2.500000000000000052e-03,-1.000000000000000000e+00,4.137550000000000255e-04
-9.499999999999999556e-01,2.500000000000000052e-03,-9.499999999999999556e-01,3.267216000000000196e-04
-9.000000000000000222e-01,2.500000000000000052e-03,-9.000000000000000222e-01,2.465696000000000185e-04
-8.499999999999999778e-01,2.500000000000000052e-03,-8.499999999999999778e-01,1.741253999999999914e-04
-8.000000000000000444e-01,2.500000000000000052e-03,-8.000000000000000444e-01,1.110184000000000008e-04
-7.500000000000000000e-01,2.500000000000000052e-03,-7.500000000000000000e-01,6.039049999999999719e-05
-6.999999999999999556e-01,2.500000000000000052e-03,-6.999999999999999556e-01,2.618240999999999925e-05
-6.500000000000000222e-01,2.500000000000000052e-03,-6.500000000000000222e-01,8.765289999999999895e-06
-5.999999999999999778e-01,2.500000000000000052e-03,-5.999999999999999778e-01,2.356692000000000017e-06
-5.500000000000000444e-01,2.500000000000000052e-03,-5.500000000000000444e-01,5.370156999999999930e-07
-5.000000000000000000e-01,2.500000000000000052e-03,-5.000000000000000000e-01,1.085688000000000000e-07
-4.500000000000000111e-01,2.500000000000000052e-03,-4.500000000000000111e-01,2.042888999999999851e-08
-4.000000000000000222e-01,2.500000000000000052e-03,-4.000000000000000222e-01,3.708249999999999887e-09
-3.499999999999999778e-01,2.500000000000000052e-03,-3.499999999999999778e-01,6.628029000000000212e-10
-2.999999999999999889e-01,2.500000000000000052e-03,-2.999999999999999889e-01,1.182990000000000120e-10
-2.500000000000000000e-01,2.500000000000000052e-03,-2.500000000000000000e-01,2.172687000000000151e-11
-2.000000000000000111e-01,2.500000000000000052e-03,-2.000000000000000111e-01,4.657739000000000132e-12
-1.499999999999999944e-01,2.500000000000000052e-03,-1.499999999999999944e-01,1.645142999999999910e-12
-1.000000000000000056e-01,2.500000000000000052e-03,-1.000000000000000056e-01,1.113763000000000007e-12
-5.000000000000000278e-02,2.500000000000000052e-03,-5.000000000000000278e-02,1.020059000000000026e-12
3.191890999999999805e-16,2.500000000000000052e-03,3.191890999999999805e-16,1.003537000000000069e-12
