dc,v(eps_s),v(alpha),i(Vdd)
0.000000000000000000e+00,5.000000000000000104e-03,0.000000000000000000e+00,-4.079999999999999561e-05
1.309000000000000163e-01,5.000000000000000104e-03,1.309000000000000163e-01,-4.079999999999999561e-05
2.617990000000000039e-01,5.000000000000000104e-03,2.617990000000000039e-01,-4.079999999999999561e-05
3.926990000000000203e-01,5.000000000000000104e-03,3.926990000000000203e-01,-4.079999999999999561e-05
5.235990000000000366e-01,5.000000000000000104e-03,5.235990000000000366e-01,-4.079999999999999561e-05
6.544980000000000242e-01,5.000000000000000104e-03,6.544980000000000242e-01,-4.079999999999999561e-05
7.853980000000000405e-01,5.000000000000000104e-03,7.853980000000000405e-01,-4.079999999999999561e-05
9.162980000000000569e-01,5.000000000000000104e-03,9.162980000000000569e-01,-4.079999999999999561e-05
1.047199999999999909e+00,5.000000000000000104e-03,1.047199999999999909e+00,-4.079999999999999561e-05
1.178099999999999925e+00,5.000000000000000104e-03,1.178099999999999925e+00,-4.079999999999999561e-05
1.308999999999999941e+00,5.000000000000000104e-03,1.308999999999999941e+00,-4.079999999999999561e-05
1.439899999999999958e+00,5.000000000000000104e-03,1.439899999999999958e+00,-4.079999999999999561e-05
1.570799999999999974e+00,5.000000000000000104e-03,1.570799999999999974e+00,-4.079999999999999561e-05
