dc,v(eps_s),v(g),i(Vdd)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,0.000000000000000000e+00,5.000000000000000278e-02,0.000000000000000000e+00
1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00
1.499999999999999944e-01,0.000000000000000000e+00,1.499999999999999944e-01,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,2.000000000000000111e-01,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00
2.999999999999999889e-01,0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,3.500000000000000333e-01,0.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00,4.000000000000000222e-01,-1.019999999999999890e-05
4.500000000000000111e-01,0.000000000000000000e+00,4.500000000000000111e-01,-2.039999999999999781e-05
5.000000000000000000e-01,0.000000000000000000e+00,5.000000000000000000e-01,-3.059999999999999840e-05
5.500000000000000444e-01,0.000000000000000000e+00,5.500000000000000444e-01,-4.079999999999999561e-05
5.999999999999999778e-01,0.000000000000000000e+00,5.999999999999999778e-01,-5.099999999999999960e-05
6.500000000000000222e-01,0.000000000000000000e+00,6.500000000000000222e-01,-6.119999999999999681e-05
7.000000000000000666e-01,0.000000000000000000e+00,7.000000000000000666e-01,-7.140000000000000079e-05
7.500000000000000000e-01,0.000000000000000000e+00,7.500000000000000000e-01,-8.159999999999999123e-05
8.000000000000000444e-01,0.000000000000000000e+00,8.000000000000000444e-01,-9.179999999999999521e-05
8.499999999999999778e-01,0.000000000000000000e+00,8.499999999999999778e-01,-1.019999999999999992e-04
9.000000000000000222e-01,0.000000000000000000e+00,9.000000000000000222e-01,-1.122000000000000032e-04
9.500000000000000666e-01,0.000000000000000000e+00,9.500000000000000666e-01,-1.223999999999999936e-04
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.325999999999999976e-04
