time,v(eps_s),v(alpha),vdd#branch
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.000000000000000048e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
2.000000000000000096e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
4.000000000000000192e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
8.000000000000000383e-04,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.600000000000000077e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
3.200000000000000153e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
6.400000000000000307e-03,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.280000000000000061e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
2.280000000000000082e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
3.280000000000000276e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
4.279999999999999777e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
5.279999999999999971e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
6.279999999999999472e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
7.280000000000000360e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
8.279999999999999860e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
9.279999999999999361e-02,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.028000000000000025e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.127999999999999975e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.228000000000000064e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.328000000000000014e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.428000000000000103e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.527999999999999914e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.628000000000000003e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.728000000000000091e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.827999999999999903e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.927999999999999992e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
2.028000000000000080e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
2.127999999999999892e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
2.227999999999999980e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
2.328000000000000069e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
2.427999999999999881e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
2.528000000000000247e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
2.627999999999999781e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
2.727999999999999869e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
2.827999999999999958e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
2.928000000000000047e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
3.028000000000000136e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
3.128000000000000225e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
3.227999999999999758e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
3.327999999999999847e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
3.427999999999999936e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
3.528000000000000025e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
3.628000000000000114e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
3.728000000000000203e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
3.827999999999999736e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
3.927999999999999825e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
4.027999999999999914e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
4.128000000000000003e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
4.228000000000000091e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
4.328000000000000180e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
4.428000000000000269e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
4.527999999999999803e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
4.627999999999999892e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
4.727999999999999980e-01,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
