time,v(eps_s),v(alpha),vdd#branch
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.000000000000000082e-05,5.000000000000000240e-05,0.000000000000000000e+00,-2.405700000000000091e-04
2.000000000000000164e-05,1.000000000000000048e-04,0.000000000000000000e+00,-2.405700000000000091e-04
4.000000000000000327e-05,2.000000000000000096e-04,0.000000000000000000e+00,-2.405700000000000091e-04
8.000000000000000654e-05,4.000000000000000192e-04,0.000000000000000000e+00,-2.405700000000000091e-04
1.600000000000000131e-04,8.000000000000000383e-04,0.000000000000000000e+00,-2.405700000000000091e-04
3.200000000000000262e-04,1.600000000000000077e-03,0.000000000000000000e+00,-2.405700000000000091e-04
6.400000000000000524e-04,3.200000000000000153e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.000000000000000021e-03,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.064000000000000059e-03,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.191999999999999917e-03,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.448000000000000068e-03,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.959999999999999937e-03,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.984000000000000107e-03,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
5.032000000000000015e-03,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
9.128000000000000697e-03,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.731999999999999859e-02,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.732000000000000053e-02,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.731999999999999901e-02,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
4.732000000000000095e-02,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
5.732000000000000289e-02,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
6.732000000000000484e-02,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
7.731999999999999984e-02,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
8.731999999999999484e-02,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
9.732000000000000373e-02,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.073199999999999987e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.173199999999999937e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.273199999999999887e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.373199999999999976e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.473200000000000065e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.573199999999999876e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.673199999999999965e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.773200000000000054e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.873199999999999865e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
1.973199999999999954e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.073200000000000043e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.173200000000000132e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.273199999999999943e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.373200000000000032e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.473200000000000121e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.573199999999999932e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.673200000000000021e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.773200000000000109e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.873200000000000198e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
2.973199999999999732e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.073199999999999821e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.173199999999999910e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.273199999999999998e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.373200000000000087e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.473200000000000176e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.573200000000000265e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.673199999999999799e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.773199999999999887e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.873199999999999976e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
3.973200000000000065e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.405700000000000091e-04
