time,v(eps_s),v(alpha),vdd#branch
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.000000000000000048e-04,9.999999999999999547e-08,0.000000000000000000e+00,-2.405700000000000091e-04
1.055957999999999962e-04,1.055958000000000038e-07,0.000000000000000000e+00,-2.405700000000000091e-04
1.167872999999999991e-04,1.167873000000000018e-07,0.000000000000000000e+00,-2.405700000000000091e-04
1.391704000000000118e-04,1.391703999999999900e-07,0.000000000000000000e+00,-2.405700000000000091e-04
1.839365000000000032e-04,1.839365000000000007e-07,0.000000000000000000e+00,-2.405700000000000091e-04
2.734686999999999860e-04,2.734687000000000220e-07,0.000000000000000000e+00,-2.405700000000000091e-04
4.382580000000000178e-04,4.382580000000000059e-07,0.000000000000000000e+00,-2.405700000000000091e-04
6.601985999999999575e-04,6.601986000000000524e-07,0.000000000000000000e+00,-2.405700000000000091e-04
1.009102999999999910e-03,1.009103000000000086e-06,0.000000000000000000e+00,-2.405689999999999933e-04
1.506734000000000025e-03,1.506733999999999998e-06,0.000000000000000000e+00,-2.405680000000000047e-04
2.271288000000000213e-03,2.271287999999999844e-06,0.000000000000000000e+00,-2.405660000000000003e-04
3.388958999999999982e-03,3.388959000000000006e-06,0.000000000000000000e+00,-2.405599999999999872e-04
5.073730999999999727e-03,5.073731000000000025e-06,0.000000000000000000e+00,-2.405469999999999993e-04
7.544516999999999717e-03,7.544517000000000191e-06,0.000000000000000000e+00,-2.405180000000000035e-04
1.119651999999999974e-02,1.119651999999999999e-05,0.000000000000000000e+00,-2.404499999999999899e-04
1.647266000000000008e-02,1.647265999999999959e-05,0.000000000000000000e+00,-2.402930000000000116e-04
2.400346999999999897e-02,2.400346999999999941e-05,0.000000000000000000e+00,-2.399260000000000064e-04
3.400347000000000092e-02,3.400346999999999853e-05,0.000000000000000000e+00,-2.390380000000000109e-04
4.400347000000000286e-02,4.400346999999999766e-05,0.000000000000000000e+00,-2.369000000000000120e-04
5.400346999999999786e-02,5.400346999999999678e-05,0.000000000000000000e+00,-2.327100000000000132e-04
6.400347000000000675e-02,6.400346999999999590e-05,0.000000000000000000e+00,-2.254609999999999882e-04
7.400347000000000175e-02,7.400346999999999503e-05,0.000000000000000000e+00,-2.133210000000000130e-04
8.400346999999999675e-02,8.400346999999999415e-05,0.000000000000000000e+00,-1.935189999999999881e-04
9.400347000000000564e-02,9.400346999999999328e-05,0.000000000000000000e+00,-1.625279999999999997e-04
1.040034999999999987e-01,1.040034999999999945e-04,0.000000000000000000e+00,-1.169249999999999961e-04
1.140034999999999937e-01,1.140034999999999936e-04,0.000000000000000000e+00,-6.019850000000000309e-05
1.240035000000000026e-01,1.240035000000000063e-04,0.000000000000000000e+00,-1.451509999999999931e-05
1.340034999999999976e-01,1.340035000000000054e-04,0.000000000000000000e+00,-7.140189999999999564e-07
1.440035000000000065e-01,1.440035000000000045e-04,0.000000000000000000e+00,-2.196399999999999984e-09
1.540034999999999876e-01,1.540035000000000037e-04,0.000000000000000000e+00,-1.179230000000000015e-12
1.640034999999999965e-01,1.640035000000000028e-04,0.000000000000000000e+00,-1.128489999999999971e-12
1.740035000000000054e-01,1.740035000000000019e-04,0.000000000000000000e+00,-1.201000000000000032e-12
1.840034999999999865e-01,1.840035000000000010e-04,0.000000000000000000e+00,-1.348209999999999967e-12
1.940034999999999954e-01,1.940035000000000002e-04,0.000000000000000000e+00,-1.567139999999999924e-12
2.040035000000000043e-01,2.040034999999999993e-04,0.000000000000000000e+00,-1.958450000000000001e-12
2.140035000000000132e-01,2.140034999999999984e-04,0.000000000000000000e+00,-2.584209999999999951e-12
2.240034999999999943e-01,2.240034999999999975e-04,0.000000000000000000e+00,-3.653549999999999917e-12
2.340035000000000032e-01,2.340034999999999967e-04,0.000000000000000000e+00,-5.409379999999999716e-12
2.440035000000000120e-01,2.440034999999999958e-04,0.000000000000000000e+00,-8.362180000000000624e-12
2.540034999999999932e-01,2.540034999999999949e-04,0.000000000000000000e+00,-1.325709999999999932e-11
2.640035000000000021e-01,2.640035000000000211e-04,0.000000000000000000e+00,-2.144170000000000142e-11
2.740035000000000109e-01,2.740034999999999932e-04,0.000000000000000000e+00,-3.505630000000000280e-11
2.840035000000000198e-01,2.840035000000000194e-04,0.000000000000000000e+00,-5.777370000000000130e-11
2.940034999999999732e-01,2.940034999999999914e-04,0.000000000000000000e+00,-9.560959999999999521e-11
3.040034999999999821e-01,3.040035000000000176e-04,0.000000000000000000e+00,-1.586959999999999967e-10
3.140034999999999910e-01,3.140034999999999897e-04,0.000000000000000000e+00,-2.638130000000000174e-10
3.240034999999999998e-01,3.240035000000000159e-04,0.000000000000000000e+00,-4.390350000000000250e-10
3.340035000000000087e-01,3.340034999999999879e-04,0.000000000000000000e+00,-7.310460000000000416e-10
3.440035000000000176e-01,3.440035000000000141e-04,0.000000000000000000e+00,-1.217759999999999939e-09
3.540035000000000265e-01,3.540034999999999861e-04,0.000000000000000000e+00,-2.028910000000000183e-09
3.640034999999999799e-01,3.640035000000000124e-04,0.000000000000000000e+00,-3.380870000000000134e-09
3.740034999999999887e-01,3.740034999999999844e-04,0.000000000000000000e+00,-5.634099999999999807e-09
3.840034999999999976e-01,3.840035000000000106e-04,0.000000000000000000e+00,-9.389519999999999232e-09
3.940035000000000065e-01,3.940034999999999826e-04,0.000000000000000000e+00,-1.564849999999999947e-08
