time,v(eps_s),v(alpha),vdd#branch
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.000000000000000082e-05,5.000000000000000240e-05,0.000000000000000000e+00,-2.405700000000000091e-04
1.055995999999999943e-05,5.279979000000000155e-05,0.000000000000000000e+00,-2.405700000000000091e-04
1.167986999999999936e-05,5.839936999999999987e-05,0.000000000000000000e+00,-2.405700000000000091e-04
1.391971000000000060e-05,6.959853000000000328e-05,0.000000000000000000e+00,-2.405700000000000091e-04
1.839936999999999999e-05,9.199684999999999655e-05,0.000000000000000000e+00,-2.405700000000000091e-04
2.735869999999999947e-05,1.367934999999999973e-04,0.000000000000000000e+00,-2.405669999999999890e-04
4.385937000000000017e-05,2.192968999999999908e-04,0.000000000000000000e+00,-2.405599999999999872e-04
6.610504999999999485e-05,3.305251999999999843e-04,0.000000000000000000e+00,-2.405510000000000081e-04
1.011269000000000024e-04,5.056344999999999850e-04,0.000000000000000000e+00,-2.405270000000000097e-04
1.511975000000000038e-04,7.559872999999999506e-04,0.000000000000000000e+00,-2.404709999999999953e-04
2.283991999999999934e-04,1.141995999999999940e-03,0.000000000000000000e+00,-2.403460000000000058e-04
3.418806000000000145e-04,1.709402999999999964e-03,0.000000000000000000e+00,-2.400640000000000109e-04
5.143688999999999466e-04,2.571844000000000213e-03,0.000000000000000000e+00,-2.394309999999999917e-04
7.571843999999999667e-04,3.785922000000000159e-03,0.000000000000000000e+00,-2.379989999999999959e-04
1.000000000000000021e-03,5.000000000000000104e-03,0.000000000000000000e+00,-2.349250000000000047e-04
1.038861999999999989e-03,5.000000000000000104e-03,0.000000000000000000e+00,-2.299810000000000060e-04
1.116585000000000017e-03,5.000000000000000104e-03,0.000000000000000000e+00,-2.260870000000000056e-04
1.272031000000000073e-03,5.000000000000000104e-03,0.000000000000000000e+00,-2.250409999999999889e-04
1.582925000000000000e-03,5.000000000000000104e-03,0.000000000000000000e+00,-2.219819999999999899e-04
2.204710999999999824e-03,5.000000000000000104e-03,0.000000000000000000e+00,-2.157960000000000054e-04
3.448282999999999904e-03,5.000000000000000104e-03,0.000000000000000000e+00,-2.034949999999999888e-04
5.935428000000000405e-03,5.000000000000000104e-03,0.000000000000000000e+00,-1.792639999999999967e-04
1.090971999999999949e-02,5.000000000000000104e-03,0.000000000000000000e+00,-1.330410000000000024e-04
2.085829999999999976e-02,5.000000000000000104e-03,0.000000000000000000e+00,-5.719470000000000315e-05
3.085830000000000170e-02,5.000000000000000104e-03,0.000000000000000000e+00,-2.276199999999999908e-06
4.085830000000000017e-02,5.000000000000000104e-03,0.000000000000000000e+00,-8.616120000000000021e-10
5.085830000000000212e-02,5.000000000000000104e-03,0.000000000000000000e+00,-9.370170000000000402e-14
6.085829999999999712e-02,5.000000000000000104e-03,0.000000000000000000e+00,-1.207790000000000047e-12
7.085829999999999906e-02,5.000000000000000104e-03,0.000000000000000000e+00,-1.213899999999999907e-12
8.085829999999999407e-02,5.000000000000000104e-03,0.000000000000000000e+00,-1.485269999999999991e-12
9.085830000000000295e-02,5.000000000000000104e-03,0.000000000000000000e+00,-1.677020000000000058e-12
1.008582999999999980e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.257689999999999844e-12
1.108583000000000068e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.964830000000000000e-12
1.208583000000000018e-01,5.000000000000000104e-03,0.000000000000000000e+00,-4.404389999999999977e-12
1.308583000000000107e-01,5.000000000000000104e-03,0.000000000000000000e+00,-6.542970000000000341e-12
1.408582999999999918e-01,5.000000000000000104e-03,0.000000000000000000e+00,-1.036820000000000019e-11
1.508583000000000007e-01,5.000000000000000104e-03,0.000000000000000000e+00,-1.648279999999999839e-11
1.608583000000000096e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.693479999999999949e-11
1.708582999999999907e-01,5.000000000000000104e-03,0.000000000000000000e+00,-4.409400000000000174e-11
1.808582999999999996e-01,5.000000000000000104e-03,0.000000000000000000e+00,-7.295360000000000127e-11
1.908583000000000085e-01,5.000000000000000104e-03,0.000000000000000000e+00,-1.207919999999999950e-10
2.008582999999999896e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.007840000000000120e-10
2.108582999999999985e-01,5.000000000000000104e-03,0.000000000000000000e+00,-3.338420000000000244e-10
2.208583000000000074e-01,5.000000000000000104e-03,0.000000000000000000e+00,-5.558670000000000410e-10
2.308582999999999885e-01,5.000000000000000104e-03,0.000000000000000000e+00,-9.256479999999999865e-10
2.408582999999999974e-01,5.000000000000000104e-03,0.000000000000000000e+00,-1.542209999999999992e-09
2.508582999999999785e-01,5.000000000000000104e-03,0.000000000000000000e+00,-2.569550000000000086e-09
2.608582999999999874e-01,5.000000000000000104e-03,0.000000000000000000e+00,-4.282050000000000118e-09
2.708582999999999963e-01,5.000000000000000104e-03,0.000000000000000000e+00,-7.135959999999999830e-09
2.808583000000000052e-01,5.000000000000000104e-03,0.000000000000000000e+00,-1.189269999999999968e-08
2.908583000000000141e-01,5.000000000000000104e-03,0.000000000000000000e+00,-1.982039999999999992e-08
3.008583000000000229e-01,5.000000000000000104e-03,0.000000000000000000e+00,-3.303350000000000261e-08
3.108582999999999763e-01,5.000000000000000104e-03,0.000000000000000000e+00,-5.505499999999999900e-08
3.208582999999999852e-01,5.000000000000000104e-03,0.000000000000000000e+00,-9.175790000000000137e-08
