time,v(eps_s),v(alpha),vdd#branch
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.000000000000000048e-04,2.999993999999999805e-07,0.000000000000000000e+00,-2.405700000000000091e-04
1.055957999999999962e-04,3.167867000000000133e-07,0.000000000000000000e+00,-2.405700000000000091e-04
1.167872999999999991e-04,3.503611999999999808e-07,0.000000000000000000e+00,-2.405700000000000091e-04
1.391704000000000118e-04,4.175102000000000218e-07,0.000000000000000000e+00,-2.405700000000000091e-04
1.839365000000000032e-04,5.518084000000000352e-07,0.000000000000000000e+00,-2.405700000000000091e-04
2.734686999999999860e-04,8.204045999999999717e-07,0.000000000000000000e+00,-2.405700000000000091e-04
4.382580000000000178e-04,1.314770999999999935e-06,0.000000000000000000e+00,-2.405700000000000091e-04
6.601985999999999575e-04,1.980591999999999925e-06,0.000000000000000000e+00,-2.405689999999999933e-04
1.009102999999999910e-03,3.027303999999999908e-06,0.000000000000000000e+00,-2.405680000000000047e-04
1.506734000000000025e-03,4.520193999999999772e-06,0.000000000000000000e+00,-2.405639999999999959e-04
2.271288000000000213e-03,6.813851000000000231e-06,0.000000000000000000e+00,-2.405569999999999941e-04
3.388958999999999982e-03,1.016685999999999976e-05,0.000000000000000000e+00,-2.405399999999999975e-04
5.073730999999999727e-03,1.522115999999999980e-05,0.000000000000000000e+00,-2.405010000000000069e-04
7.544516999999999717e-03,2.263351000000000008e-05,0.000000000000000000e+00,-2.404119999999999879e-04
1.119651999999999974e-02,3.358950000000000087e-05,0.000000000000000000e+00,-2.402089999999999900e-04
1.647266000000000008e-02,4.941788999999999926e-05,0.000000000000000000e+00,-2.397400000000000052e-04
2.400346999999999897e-02,7.201026000000000128e-05,0.000000000000000000e+00,-2.386380000000000012e-04
3.400347000000000092e-02,1.020101999999999945e-04,0.000000000000000000e+00,-2.359840000000000093e-04
4.400347000000000286e-02,1.320101000000000119e-04,0.000000000000000000e+00,-2.296210000000000026e-04
5.400346999999999786e-02,1.620101000000000093e-04,0.000000000000000000e+00,-2.172949999999999990e-04
6.400347000000000675e-02,1.920099999999999997e-04,0.000000000000000000e+00,-1.964590000000000108e-04
7.400347000000000175e-02,2.220099999999999971e-04,0.000000000000000000e+00,-1.633810000000000134e-04
8.400346999999999675e-02,2.520099000000000145e-04,0.000000000000000000e+00,-1.147009999999999984e-04
9.400347000000000564e-02,2.820098000000000049e-04,0.000000000000000000e+00,-5.553889999999999776e-05
1.040034999999999987e-01,3.120097999999999752e-04,0.000000000000000000e+00,-1.152669999999999926e-05
1.140034999999999937e-01,3.420097000000000198e-04,0.000000000000000000e+00,-4.135790000000000005e-07
1.240035000000000026e-01,3.720096999999999900e-04,0.000000000000000000e+00,-7.656470000000000135e-10
1.340034999999999976e-01,4.020095999999999804e-04,0.000000000000000000e+00,-1.091320000000000039e-12
1.440035000000000065e-01,4.320095000000000250e-04,0.000000000000000000e+00,-1.139499999999999941e-12
1.540034999999999876e-01,4.620094999999999953e-04,0.000000000000000000e+00,-1.216349999999999962e-12
1.640034999999999965e-01,4.920093999999999856e-04,0.000000000000000000e+00,-1.376769999999999999e-12
1.740035000000000054e-01,5.220093999999999559e-04,0.000000000000000000e+00,-1.611789999999999941e-12
1.840034999999999865e-01,5.520093000000000005e-04,0.000000000000000000e+00,-2.035829999999999818e-12
1.940034999999999954e-01,5.820092000000000451e-04,0.000000000000000000e+00,-2.710220000000000138e-12
2.040035000000000043e-01,6.120092000000000153e-04,0.000000000000000000e+00,-3.866539999999999800e-12
2.140035000000000132e-01,6.420090999999999515e-04,0.000000000000000000e+00,-5.761400000000000068e-12
2.240034999999999943e-01,6.720091000000000302e-04,0.000000000000000000e+00,-8.951850000000000473e-12
2.340035000000000032e-01,7.020089999999999664e-04,0.000000000000000000e+00,-1.423689999999999965e-11
2.440035000000000120e-01,7.320089000000000110e-04,0.000000000000000000e+00,-2.307769999999999970e-11
2.540034999999999932e-01,7.620088999999999812e-04,0.000000000000000000e+00,-3.777999999999999775e-11
2.640035000000000021e-01,7.920088000000000258e-04,0.000000000000000000e+00,-6.231620000000000138e-11
2.740035000000000109e-01,8.220087999999999961e-04,0.000000000000000000e+00,-1.031769999999999995e-10
2.840035000000000198e-01,8.520087000000000407e-04,0.000000000000000000e+00,-1.713119999999999922e-10
2.940034999999999732e-01,8.820085999999999768e-04,0.000000000000000000e+00,-2.848369999999999957e-10
3.040034999999999821e-01,9.120085999999999471e-04,0.000000000000000000e+00,-4.740779999999999629e-10
3.140034999999999910e-01,9.420084999999999917e-04,0.000000000000000000e+00,-7.894469999999999726e-10
3.240034999999999998e-01,9.720084999999999619e-04,0.000000000000000000e+00,-1.315090000000000057e-09
3.340035000000000087e-01,1.002007999999999979e-03,0.000000000000000000e+00,-2.191139999999999942e-09
3.440035000000000176e-01,1.032008000000000057e-03,0.000000000000000000e+00,-3.651250000000000187e-09
3.540035000000000265e-01,1.062007999999999919e-03,0.000000000000000000e+00,-6.084740000000000228e-09
3.640034999999999799e-01,1.092007999999999998e-03,0.000000000000000000e+00,-1.014059999999999950e-08
3.740034999999999887e-01,1.122008000000000076e-03,0.000000000000000000e+00,-1.690029999999999881e-08
3.840034999999999976e-01,1.152007999999999938e-03,0.000000000000000000e+00,-2.816649999999999946e-08
3.940035000000000065e-01,1.182008000000000017e-03,0.000000000000000000e+00,-4.694349999999999945e-08
