time,v(eps_s),v(alpha),vdd#branch
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.405700000000000091e-04
1.000000000000000048e-04,9.424778000000000195e-07,0.000000000000000000e+00,-2.405700000000000091e-04
1.055957999999999962e-04,9.952166000000000947e-07,0.000000000000000000e+00,-2.405700000000000091e-04
1.167872999999999991e-04,1.100693999999999943e-06,0.000000000000000000e+00,-2.405700000000000091e-04
1.391704000000000118e-04,1.311649999999999969e-06,0.000000000000000000e+00,-2.405700000000000091e-04
1.839365000000000032e-04,1.733559999999999967e-06,0.000000000000000000e+00,-2.405700000000000091e-04
2.734686999999999860e-04,2.577382000000000017e-06,0.000000000000000000e+00,-2.405700000000000091e-04
4.382580000000000178e-04,4.130484000000000076e-06,0.000000000000000000e+00,-2.405680000000000047e-04
6.601985999999999575e-04,6.222222999999999905e-06,0.000000000000000000e+00,-2.405669999999999890e-04
1.009102999999999910e-03,9.510569999999999644e-06,0.000000000000000000e+00,-2.405619999999999916e-04
1.506734000000000025e-03,1.420062000000000059e-05,0.000000000000000000e+00,-2.405510000000000081e-04
2.271289000000000120e-03,2.140633000000000076e-05,0.000000000000000000e+00,-2.405279999999999983e-04
3.388962000000000137e-03,3.193999000000000181e-05,0.000000000000000000e+00,-2.404739999999999883e-04
5.073738999999999853e-03,4.781813999999999818e-05,0.000000000000000000e+00,-2.403519999999999919e-04
7.544544000000000250e-03,7.110326000000000471e-05,0.000000000000000000e+00,-2.400729999999999900e-04
1.119660999999999920e-02,1.055176999999999943e-04,0.000000000000000000e+00,-2.394370000000000049e-04
1.647293000000000021e-02,1.552287000000000068e-04,0.000000000000000000e+00,-2.379650000000000027e-04
2.400421999999999972e-02,2.261572999999999904e-04,0.000000000000000000e+00,-2.345210000000000133e-04
3.400422000000000167e-02,3.202627999999999790e-04,0.000000000000000000e+00,-2.262789999999999929e-04
4.400421999999999667e-02,4.142546000000000097e-04,0.000000000000000000e+00,-2.068220000000000063e-04
5.400421999999999861e-02,5.080991999999999887e-04,0.000000000000000000e+00,-1.711659999999999939e-04
6.400422000000000056e-02,6.017633000000000530e-04,0.000000000000000000e+00,-1.169730000000000064e-04
7.400421999999999556e-02,6.952135999999999602e-04,0.000000000000000000e+00,-5.199020000000000242e-05
8.400422000000000444e-02,7.884167999999999558e-04,0.000000000000000000e+00,-8.512790000000000195e-06
9.400421999999999945e-02,8.813399999999999880e-04,0.000000000000000000e+00,-1.808159999999999960e-07
1.040042000000000050e-01,9.739500000000000110e-04,0.000000000000000000e+00,-1.428009999999999963e-10
1.140042000000000000e-01,1.066214000000000007e-03,0.000000000000000000e+00,-6.901470000000000278e-13
1.240041999999999950e-01,1.158099000000000108e-03,0.000000000000000000e+00,-1.157829999999999924e-12
1.340041999999999900e-01,1.249572999999999916e-03,0.000000000000000000e+00,-1.243999999999999950e-12
1.440041999999999989e-01,1.340601999999999983e-03,0.000000000000000000e+00,-1.425820000000000078e-12
1.540042000000000078e-01,1.431156000000000051e-03,0.000000000000000000e+00,-1.690639999999999953e-12
1.640041999999999889e-01,1.521201000000000020e-03,0.000000000000000000e+00,-2.170190000000000066e-12
1.740041999999999978e-01,1.610705000000000036e-03,0.000000000000000000e+00,-2.931250000000000056e-12
1.840042000000000066e-01,1.699636999999999936e-03,0.000000000000000000e+00,-4.237860000000000281e-12
1.940041999999999878e-01,1.787965999999999991e-03,0.000000000000000000e+00,-6.377350000000000084e-12
2.040041999999999967e-01,1.875659000000000007e-03,0.000000000000000000e+00,-9.981369999999999908e-12
2.140042000000000055e-01,1.962685000000000037e-03,0.000000000000000000e+00,-1.594980000000000137e-11
2.240041999999999867e-01,2.049014999999999951e-03,0.000000000000000000e+00,-2.593549999999999990e-11
2.340041999999999955e-01,2.134616000000000204e-03,0.000000000000000000e+00,-4.254010000000000207e-11
2.440042000000000044e-01,2.219459000000000015e-03,0.000000000000000000e+00,-7.025260000000000460e-11
2.540042000000000133e-01,2.303513000000000088e-03,0.000000000000000000e+00,-1.164019999999999978e-10
2.640042000000000222e-01,2.386749000000000075e-03,0.000000000000000000e+00,-1.933560000000000093e-10
2.740041999999999756e-01,2.469137000000000155e-03,0.000000000000000000e+00,-3.215739999999999899e-10
2.840041999999999844e-01,2.550647000000000070e-03,0.000000000000000000e+00,-5.353079999999999675e-10
2.940041999999999933e-01,2.631252000000000157e-03,0.000000000000000000e+00,-8.914950000000000322e-10
3.040042000000000022e-01,2.710920999999999817e-03,0.000000000000000000e+00,-1.485180000000000035e-09
3.140042000000000111e-01,2.789628000000000160e-03,0.000000000000000000e+00,-2.474609999999999998e-09
3.240042000000000200e-01,2.867343000000000062e-03,0.000000000000000000e+00,-4.123699999999999729e-09
3.340041999999999733e-01,2.944038999999999857e-03,0.000000000000000000e+00,-6.872150000000000097e-09
3.440041999999999822e-01,3.019689999999999788e-03,0.000000000000000000e+00,-1.145289999999999961e-08
3.540041999999999911e-01,3.094266999999999938e-03,0.000000000000000000e+00,-1.908750000000000135e-08
3.640042000000000000e-01,3.167745000000000023e-03,0.000000000000000000e+00,-3.181190000000000178e-08
3.740042000000000089e-01,3.240097999999999850e-03,0.000000000000000000e+00,-5.301919999999999740e-08
3.840042000000000177e-01,3.311300000000000094e-03,0.000000000000000000e+00,-8.836469999999999451e-08
3.940042000000000266e-01,3.381325000000000129e-03,0.000000000000000000e+00,-1.472739999999999991e-07
